date,calendar_index,year,count,split,period,count_method,index,dataset,D_max,final_split,neural_split
1968-02-09,1,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,1,RAND_terrorism,100,development,train
1968-02-10,2,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,2,RAND_terrorism,100,development,train
1968-02-11,3,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,3,RAND_terrorism,100,development,train
1968-02-12,4,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,4,RAND_terrorism,100,development,train
1968-02-13,5,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,5,RAND_terrorism,100,development,train
1968-02-14,6,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,6,RAND_terrorism,100,development,train
1968-02-15,7,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,7,RAND_terrorism,100,development,train
1968-02-16,8,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,8,RAND_terrorism,100,development,train
1968-02-17,9,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,9,RAND_terrorism,100,development,train
1968-02-18,10,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,10,RAND_terrorism,100,development,train
1968-02-19,11,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,11,RAND_terrorism,100,development,train
1968-02-20,12,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,12,RAND_terrorism,100,development,train
1968-02-21,13,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,13,RAND_terrorism,100,development,train
1968-02-22,14,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,14,RAND_terrorism,100,development,train
1968-02-23,15,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,15,RAND_terrorism,100,development,train
1968-02-24,16,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,16,RAND_terrorism,100,development,train
1968-02-25,17,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,17,RAND_terrorism,100,development,train
1968-02-26,18,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,18,RAND_terrorism,100,development,train
1968-02-27,19,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,19,RAND_terrorism,100,development,train
1968-02-28,20,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,20,RAND_terrorism,100,development,train
1968-02-29,21,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,21,RAND_terrorism,100,development,train
1968-03-01,22,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,22,RAND_terrorism,100,development,train
1968-03-02,23,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,23,RAND_terrorism,100,development,train
1968-03-03,24,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,24,RAND_terrorism,100,development,train
1968-03-04,25,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,25,RAND_terrorism,100,development,train
1968-03-05,26,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,26,RAND_terrorism,100,development,train
1968-03-06,27,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,27,RAND_terrorism,100,development,train
1968-03-07,28,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,28,RAND_terrorism,100,development,train
1968-03-08,29,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,29,RAND_terrorism,100,development,train
1968-03-09,30,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,30,RAND_terrorism,100,development,train
