"index","date","year","count","split","period","calendar_index","dataset","D_max","final_split","neural_split"
1,"2014-01-01",2014,133,"development",365,1,"gva_allshootings",100,"development","train"
2,"2014-01-02",2014,63,"development",365,2,"gva_allshootings",100,"development","train"
3,"2014-01-03",2014,75,"development",365,3,"gva_allshootings",100,"development","train"
4,"2014-01-04",2014,86,"development",365,4,"gva_allshootings",100,"development","train"
5,"2014-01-05",2014,70,"development",365,5,"gva_allshootings",100,"development","train"
6,"2014-01-06",2014,48,"development",365,6,"gva_allshootings",100,"development","train"
7,"2014-01-07",2014,43,"development",365,7,"gva_allshootings",100,"development","train"
8,"2014-01-08",2014,75,"development",365,8,"gva_allshootings",100,"development","train"
9,"2014-01-09",2014,64,"development",365,9,"gva_allshootings",100,"development","train"
10,"2014-01-10",2014,55,"development",365,10,"gva_allshootings",100,"development","train"
11,"2014-01-11",2014,82,"development",365,11,"gva_allshootings",100,"development","train"
12,"2014-01-12",2014,82,"development",365,12,"gva_allshootings",100,"development","train"
13,"2014-01-13",2014,85,"development",365,13,"gva_allshootings",100,"development","train"
14,"2014-01-14",2014,80,"development",365,14,"gva_allshootings",100,"development","train"
15,"2014-01-15",2014,71,"development",365,15,"gva_allshootings",100,"development","train"
16,"2014-01-16",2014,68,"development",365,16,"gva_allshootings",100,"development","train"
17,"2014-01-17",2014,78,"development",365,17,"gva_allshootings",100,"development","train"
18,"2014-01-18",2014,79,"development",365,18,"gva_allshootings",100,"development","train"
19,"2014-01-19",2014,79,"development",365,19,"gva_allshootings",100,"development","train"
20,"2014-01-20",2014,96,"development",365,20,"gva_allshootings",100,"development","train"
21,"2014-01-21",2014,63,"development",365,21,"gva_allshootings",100,"development","train"
22,"2014-01-22",2014,71,"development",365,22,"gva_allshootings",100,"development","train"
23,"2014-01-23",2014,45,"development",365,23,"gva_allshootings",100,"development","train"
24,"2014-01-24",2014,60,"development",365,24,"gva_allshootings",100,"development","train"
25,"2014-01-25",2014,88,"development",365,25,"gva_allshootings",100,"development","train"
26,"2014-01-26",2014,80,"development",365,26,"gva_allshootings",100,"development","train"
27,"2014-01-27",2014,63,"development",365,27,"gva_allshootings",100,"development","train"
28,"2014-01-28",2014,70,"development",365,28,"gva_allshootings",100,"development","train"
29,"2014-01-29",2014,50,"development",365,29,"gva_allshootings",100,"development","train"
30,"2014-01-30",2014,45,"development",365,30,"gva_allshootings",100,"development","train"
31,"2014-01-31",2014,77,"development",365,31,"gva_allshootings",100,"development","train"
32,"2014-02-01",2014,80,"development",365,32,"gva_allshootings",100,"development","train"
33,"2014-02-02",2014,80,"development",365,33,"gva_allshootings",100,"development","train"
34,"2014-02-03",2014,56,"development",365,34,"gva_allshootings",100,"development","train"
35,"2014-02-04",2014,49,"development",365,35,"gva_allshootings",100,"development","train"
36,"2014-02-05",2014,41,"development",365,36,"gva_allshootings",100,"development","train"
37,"2014-02-06",2014,59,"development",365,37,"gva_allshootings",100,"development","train"
38,"2014-02-07",2014,46,"development",365,38,"gva_allshootings",100,"development","train"
39,"2014-02-08",2014,42,"development",365,39,"gva_allshootings",100,"development","train"
40,"2014-02-09",2014,56,"development",365,40,"gva_allshootings",100,"development","train"
41,"2014-02-10",2014,64,"development",365,41,"gva_allshootings",100,"development","train"
42,"2014-02-11",2014,32,"development",365,42,"gva_allshootings",100,"development","train"
43,"2014-02-12",2014,44,"development",365,43,"gva_allshootings",100,"development","train"
44,"2014-02-13",2014,55,"development",365,44,"gva_allshootings",100,"development","train"
45,"2014-02-14",2014,42,"development",365,45,"gva_allshootings",100,"development","train"
46,"2014-02-15",2014,43,"development",365,46,"gva_allshootings",100,"development","train"
47,"2014-02-16",2014,74,"development",365,47,"gva_allshootings",100,"development","train"
48,"2014-02-17",2014,50,"development",365,48,"gva_allshootings",100,"development","train"
49,"2014-02-18",2014,50,"development",365,49,"gva_allshootings",100,"development","train"
50,"2014-02-19",2014,68,"development",365,50,"gva_allshootings",100,"development","train"
51,"2014-02-20",2014,54,"development",365,51,"gva_allshootings",100,"development","train"
52,"2014-02-21",2014,64,"development",365,52,"gva_allshootings",100,"development","train"
53,"2014-02-22",2014,71,"development",365,53,"gva_allshootings",100,"development","train"
54,"2014-02-23",2014,80,"development",365,54,"gva_allshootings",100,"development","train"
55,"2014-02-24",2014,50,"development",365,55,"gva_allshootings",100,"development","train"
56,"2014-02-25",2014,49,"development",365,56,"gva_allshootings",100,"development","train"
57,"2014-02-26",2014,38,"development",365,57,"gva_allshootings",100,"development","train"
58,"2014-02-27",2014,48,"development",365,58,"gva_allshootings",100,"development","train"
59,"2014-02-28",2014,35,"development",365,59,"gva_allshootings",100,"development","train"
60,"2014-03-01",2014,94,"development",365,60,"gva_allshootings",100,"development","train"
61,"2014-03-02",2014,46,"development",365,61,"gva_allshootings",100,"development","train"
62,"2014-03-03",2014,47,"development",365,62,"gva_allshootings",100,"development","train"
63,"2014-03-04",2014,39,"development",365,63,"gva_allshootings",100,"development","train"
64,"2014-03-05",2014,55,"development",365,64,"gva_allshootings",100,"development","train"
65,"2014-03-06",2014,50,"development",365,65,"gva_allshootings",100,"development","train"
66,"2014-03-07",2014,62,"development",365,66,"gva_allshootings",100,"development","train"
67,"2014-03-08",2014,59,"development",365,67,"gva_allshootings",100,"development","train"
68,"2014-03-09",2014,112,"development",365,68,"gva_allshootings",100,"development","train"
69,"2014-03-10",2014,65,"development",365,69,"gva_allshootings",100,"development","train"
70,"2014-03-11",2014,44,"development",365,70,"gva_allshootings",100,"development","train"
71,"2014-03-12",2014,50,"development",365,71,"gva_allshootings",100,"development","train"
72,"2014-03-13",2014,52,"development",365,72,"gva_allshootings",100,"development","train"
73,"2014-03-14",2014,83,"development",365,73,"gva_allshootings",100,"development","train"
74,"2014-03-15",2014,72,"development",365,74,"gva_allshootings",100,"development","train"
75,"2014-03-16",2014,59,"development",365,75,"gva_allshootings",100,"development","train"
76,"2014-03-17",2014,53,"development",365,76,"gva_allshootings",100,"development","train"
77,"2014-03-18",2014,58,"development",365,77,"gva_allshootings",100,"development","train"
78,"2014-03-19",2014,68,"development",365,78,"gva_allshootings",100,"development","train"
79,"2014-03-20",2014,68,"development",365,79,"gva_allshootings",100,"development","train"
80,"2014-03-21",2014,77,"development",365,80,"gva_allshootings",100,"development","train"
81,"2014-03-22",2014,71,"development",365,81,"gva_allshootings",100,"development","train"
82,"2014-03-23",2014,58,"development",365,82,"gva_allshootings",100,"development","train"
83,"2014-03-24",2014,62,"development",365,83,"gva_allshootings",100,"development","train"
84,"2014-03-25",2014,54,"development",365,84,"gva_allshootings",100,"development","train"
85,"2014-03-26",2014,63,"development",365,85,"gva_allshootings",100,"development","train"
86,"2014-03-27",2014,61,"development",365,86,"gva_allshootings",100,"development","train"
87,"2014-03-28",2014,69,"development",365,87,"gva_allshootings",100,"development","train"
88,"2014-03-29",2014,92,"development",365,88,"gva_allshootings",100,"development","train"
89,"2014-03-30",2014,60,"development",365,89,"gva_allshootings",100,"development","train"
90,"2014-03-31",2014,70,"development",365,90,"gva_allshootings",100,"development","train"
91,"2014-04-01",2014,55,"development",365,91,"gva_allshootings",100,"development","train"
92,"2014-04-02",2014,58,"development",365,92,"gva_allshootings",100,"development","train"
93,"2014-04-03",2014,74,"development",365,93,"gva_allshootings",100,"development","train"
94,"2014-04-04",2014,85,"development",365,94,"gva_allshootings",100,"development","train"
95,"2014-04-05",2014,74,"development",365,95,"gva_allshootings",100,"development","train"
96,"2014-04-06",2014,72,"development",365,96,"gva_allshootings",100,"development","train"
97,"2014-04-07",2014,57,"development",365,97,"gva_allshootings",100,"development","train"
98,"2014-04-08",2014,76,"development",365,98,"gva_allshootings",100,"development","train"
99,"2014-04-09",2014,65,"development",365,99,"gva_allshootings",100,"development","train"
100,"2014-04-10",2014,65,"development",365,100,"gva_allshootings",100,"development","train"
101,"2014-04-11",2014,91,"development",365,101,"gva_allshootings",100,"development","train"
102,"2014-04-12",2014,78,"development",365,102,"gva_allshootings",100,"development","train"
103,"2014-04-13",2014,70,"development",365,103,"gva_allshootings",100,"development","train"
