"date","calendar_index","year","count","split","period","count_method","index","dataset","D_max","final_split","neural_split"
"2006-01-01",1,2006,7,"development",365,"Distinct incident_key per occurrence date.",1,"nyc_shootings",100,"development","train"
"2006-01-02",2,2006,3,"development",365,"Distinct incident_key per occurrence date.",2,"nyc_shootings",100,"development","train"
"2006-01-03",3,2006,4,"development",365,"Distinct incident_key per occurrence date.",3,"nyc_shootings",100,"development","train"
"2006-01-04",4,2006,4,"development",365,"Distinct incident_key per occurrence date.",4,"nyc_shootings",100,"development","train"
"2006-01-05",5,2006,4,"development",365,"Distinct incident_key per occurrence date.",5,"nyc_shootings",100,"development","train"
"2006-01-06",6,2006,3,"development",365,"Distinct incident_key per occurrence date.",6,"nyc_shootings",100,"development","train"
"2006-01-07",7,2006,2,"development",365,"Distinct incident_key per occurrence date.",7,"nyc_shootings",100,"development","train"
"2006-01-08",8,2006,4,"development",365,"Distinct incident_key per occurrence date.",8,"nyc_shootings",100,"development","train"
"2006-01-09",9,2006,6,"development",365,"Distinct incident_key per occurrence date.",9,"nyc_shootings",100,"development","train"
"2006-01-10",10,2006,3,"development",365,"Distinct incident_key per occurrence date.",10,"nyc_shootings",100,"development","train"
"2006-01-11",11,2006,2,"development",365,"Distinct incident_key per occurrence date.",11,"nyc_shootings",100,"development","train"
"2006-01-12",12,2006,2,"development",365,"Distinct incident_key per occurrence date.",12,"nyc_shootings",100,"development","train"
"2006-01-13",13,2006,6,"development",365,"Distinct incident_key per occurrence date.",13,"nyc_shootings",100,"development","train"
"2006-01-14",14,2006,5,"development",365,"Distinct incident_key per occurrence date.",14,"nyc_shootings",100,"development","train"
"2006-01-15",15,2006,3,"development",365,"Distinct incident_key per occurrence date.",15,"nyc_shootings",100,"development","train"
"2006-01-16",16,2006,4,"development",365,"Distinct incident_key per occurrence date.",16,"nyc_shootings",100,"development","train"
"2006-01-17",17,2006,3,"development",365,"Distinct incident_key per occurrence date.",17,"nyc_shootings",100,"development","train"
"2006-01-18",18,2006,3,"development",365,"Distinct incident_key per occurrence date.",18,"nyc_shootings",100,"development","train"
"2006-01-19",19,2006,6,"development",365,"Distinct incident_key per occurrence date.",19,"nyc_shootings",100,"development","train"
"2006-01-20",20,2006,2,"development",365,"Distinct incident_key per occurrence date.",20,"nyc_shootings",100,"development","train"
"2006-01-21",21,2006,5,"development",365,"Distinct incident_key per occurrence date.",21,"nyc_shootings",100,"development","train"
"2006-01-22",22,2006,9,"development",365,"Distinct incident_key per occurrence date.",22,"nyc_shootings",100,"development","train"
"2006-01-23",23,2006,3,"development",365,"Distinct incident_key per occurrence date.",23,"nyc_shootings",100,"development","train"
"2006-01-24",24,2006,3,"development",365,"Distinct incident_key per occurrence date.",24,"nyc_shootings",100,"development","train"
"2006-01-25",25,2006,2,"development",365,"Distinct incident_key per occurrence date.",25,"nyc_shootings",100,"development","train"
"2006-01-26",26,2006,1,"development",365,"Distinct incident_key per occurrence date.",26,"nyc_shootings",100,"development","train"
"2006-01-27",27,2006,0,"development",365,"Distinct incident_key per occurrence date.",27,"nyc_shootings",100,"development","train"
"2006-01-28",28,2006,4,"development",365,"Distinct incident_key per occurrence date.",28,"nyc_shootings",100,"development","train"
"2006-01-29",29,2006,4,"development",365,"Distinct incident_key per occurrence date.",29,"nyc_shootings",100,"development","train"
"2006-01-30",30,2006,3,"development",365,"Distinct incident_key per occurrence date.",30,"nyc_shootings",100,"development","train"
"2006-01-31",31,2006,2,"development",365,"Distinct incident_key per occurrence date.",31,"nyc_shootings",100,"development","train"
"2006-02-01",32,2006,6,"development",365,"Distinct incident_key per occurrence date.",32,"nyc_shootings",100,"development","train"
